﻿spot,rating,location,website,phone,notice,price,introduction,time,policy,service,grade,number,traffic,sid
黄巢堡森林公园,,西安市灞桥区洪庆,,,,,黄巢堡森林公园位于西安市灞桥区，这里群山环抱，溪水环绕，四季常青。“黄巢堡”古时人称“九龙山”，相传唐朝末年农民起义军领袖黄巢撤出长安城后，率领部队隐藏于此，屯兵养马，意图再攻长安，故而得名黄巢堡。,全年 全天开放,,,3.7,10条点评,,295
西安民乐园步行街,,西安市新城区东三路与解放路交汇处东100米,,,,,西安民乐园步行街位于西安市新城区，深受游客们的喜爱，也是各种网红店的聚集地，里面有各种各样的美食以及拍照圣地。,全年 全天开放；具体以当日实际情况为准,乘坐4路到五路口站下,,4.8,21条点评,,296
9号宇宙,,西安市曲江新区翠华南路与和谐路十字凯颐大厦1—3层,,,,178,,全年 周一至周二 不开放 周三至周五 09:00-17:00(最晚入园15:30) 周六至周日 09:00-18:00(最晚入园16:00),补充说明：免票政策维护,乘坐270路到曲江国际会议中心站下,4,22条点评,,297
曲江创意谷,,西安市雁塔区雁翔路3369号,,,,,曲江创意谷位于西安市雁塔区，是一个集休闲、娱乐、美食于一体的特色街区。,10:00-22:00（内部店铺开放时间各有不同）,乘坐地铁5号线到黄渠头站下,,4.6,38条点评,,298
海莲寺,,西安市长安区水磨村西，西北政法大学东南，城南大道西60米,,,,,海莲寺旧称海神洞，位于西安市长安区水磨村西，西北政法大学东南侧。相传秦二世胡亥在位时，为绝阿房宫水患，辟韦杜以下万顷良田，修筑人工河，可是河渠“出水如血，七日方止”。有人说这里是海神的元神所在，于是修建了海神洞祭祀。到元仁宗时重修，更名“海莲洞”，元末明初正式叫海莲寺。,乘坐600路到金堆城小区站下,"1、寺里不能吸烟、大声喧哗。
2、不能进入僧房、干扰斋堂、乱摸乱敲法器。",,4.6,14条点评,,299
仙游寺法王塔,,西安市周至县城南17公里的黑水峪口,,,,,仙游寺法王塔位于西安市周至县城南的仙游寺中。此塔建于隋仁寿元年（601年），当时隋文帝为了安置他早先得到的佛舍利，于是在此创立灵塔，也就是法王塔。原本在此的仙游宫也因此更名为仙游寺。,全年 8:00-18:00,乘坐周至109路到仙游寺站下,,4.5,4条点评,,300
望仙台遗址,,西安市新城区自强东路585号大明宫国家遗址公园内，紫宸殿东侧,,,,,望仙台遗址位于大明宫国家遗址公园内紫宸殿东侧，是唐大明宫内一处重要的道教建筑。据史料记载，唐武宗痴迷道教神仙之术，于会昌年间（约公元841年）调发左右神策军3000多人，修筑了这望仙台。到唐宣宗即位时将其改为文思院。,具体开放时间请咨询景区,乘坐地铁4号线到含元殿站下,,,,,301
儿童萌宠馆,,西安市灞桥区世博大道西安世博园内,,,,,儿童萌宠馆原名四宝馆，简称“萌宠馆”，位于西安世博园秦岭园内。2011年世界园艺博览会上这里曾展示了秦岭四宝，即生活在秦岭中的朱鹮、大熊猫、金丝猴和羚牛。2013年秦岭四宝告别西安世博园，返回陕西省珍稀野生动物抢救饲养研究中心，这里便更改为萌宠馆。,世博园运行时间：8:00-22:00；展馆运行时间：冬春：9:30-17:30，夏秋：9:00-18:00,乘坐47路到广运潭站下,,4.3,4条点评,,302
,,,,,,,,,,,4,,,303
楼观台秦岭动物园,,西安市周至县楼观台国家森林公园旁,,,,,楼观台秦岭动物园又叫楼观台秦岭四宝基地、百花珍兽园，是西北较大的珍贵野生动物抢救饲养研究地，位于风景秀丽的楼观台景区旁。,"9:00-18:00,17:00停止进入",乘坐周至100路到楼观台站下,,3.8,12条点评,,304
宝庆寺,,西安市南门内书院门街北侧,,,,,,,,,4.7,25条点评,,305
老君殿,,西安市临潼区华清路（昭阳门）骊山森林公园西绣岭第三峰上,,,,,老君殿建于唐朝，位于骊山西绣岭第三峰上，系唐华清宫朝元阁遗址。唐高宗李治因老君姓李，且为道教始祖，认为和其同宗，便认作先人，上了封号。相传唐玄宗游幸华清宫时，两次在此梦到老君降临阁内，因此称为“降圣阁”。,8:00-18:00,乘坐地铁9号线到华清池站下,,3.9,8条点评,,306
藏经楼,,小雁塔景区内(小雁塔中轴线上),,,,,清代。两层高台式砖木建筑，重檐歇山式屋顶，殿宇面阔5间，进深3间，下设回廊。主要用于收藏佛典经卷。,全年 9:00-17:30,乘坐游7路到小雁塔站下,,4.8,24条点评,,307
西安曲江秦二世陵遗址公园,,曲江池南路252号,,,,,,全年 12:00-06:00,乘坐270路到曲江池南路竹里巷口站下,,,,,308
唐博艺术博物馆,,西安市公园南路26号,http://www.tangboart.com/index,029-85522418,,,"唐博艺术博物馆是一座展示陕西民间艺术和中国古代绘画艺术的博物馆,展出的陕西民间艺术包括户县农民画、华县皮影、陕北剪纸、凤翔社火马勺脸谱、凤翔泥塑和木板年画。中国古代绘画以中国历史编年为线索，展出了史前、战国两汉、魏晋南北朝和唐宋元明清各个时期具有代表性的绘画作品。",全年 9:00-16:00,乘坐37路到公园南路中段站下,,4.4,22条点评,,309
陕西人民艺术剧院,,西安市碑林区建西街163号,http://www.sxrmysjy.com/,029-87252812,,,陕西人艺小剧场位于西安市文艺院团云集之地，建西街163号，总投资500万元，建筑面积800平方米，是目前西安地区唯一一座专业小剧场，于2011年正式面向公众，可用于戏剧、综艺演出、节目录制、论坛中小会议等。观众席数为244个，其中池座197座，楼座47座，采取阶梯排列，绝无视线遮挡，符合人体工程学的扶手软座，适合长时间观看。小剧场的舞台设备齐全，且较为先进，舞台容纳面积大，可变换性多，台口高度6米，宽度为10.50米，纵深8.5米，吊杆高12米，25道吊杆可满足不同演出需求。为了完美展现演出效果，采取“自然为主，电声为辅”的声学设计，保证了声学的真实完整。,周一-周四：10:00-18:00，周五、周六10:00-19:30， 周日10:00-15:00。具体开放时间以当日实际演出为准。,补充说明：1、暂无优待政策，具体信息请以景区当天披露为准。,乘坐地铁2号线到永宁门站下,4.8,14条点评,,310
户县钟楼,,西安市鄠邑区县城东、西、南、北四街交汇处，甘亭镇政府东侧。,,,,,户县钟楼原名文昌阁，俗称中楼，位于西安市户县县城东、西、南、北四街交汇处，始建于明崇祯八年（1635年），为仿西安钟楼格式。钟楼基座一层，用青砖砌筑；楼阁二层，为重檐三滴水，四角攒尖顶，雕粱画栋，古朴典雅。现已辟为户县钟楼文物陈列馆。,乘坐鄠邑-元村到钟楼站下,,,4.2,25条点评,,311
西北大学,,中国陕西省西安市碑林区太白北路229号,http://www.nwu.edu.cn,,,,西北大学（Northwest University），简称“西大”，坐落于古都西安，是中华人民共和国教育部与陕西省人民政府共建的综合性全国重点大学，位列首批国家“世界一流学科建设高校”、国家“211工程”重点建设高校，入选中西部高校基础能力建设工程、高等学校学科创新引智计划、国家建设高水平大学公派研究生项目、中国政府奖学金来华留学生接收院校、国家大学生创新性实验计划。,乘坐800路到西南城角站下,,,4.8,49条点评,,312
芷阳湖,,西安市临潼区芷阳沟芷阳路，骊山西侧（近西安工程大学临潼校区）,,,,,芷阳湖位于骊山西侧，距华清池3里的芷阳沟内，这里曾是芷阳河故道。据历史记载，当初刘邦参加项羽所设鸿门宴，席间逃走，“道芷阳间行”。今天的芷阳村还留有后人为刘邦兴建的庙宇遗址。芷阳湖岸边不远处还有秦琼的饮马泉。,全年 全天开放,乘坐临潼309路到芷阳湖站下,,3.5,11条点评,,313
天池寺,,西安市长安区太乙宫镇蛟峪山村，近翠华山,,,,,,具体开放时间请咨询景区,乘坐729路到太乙镇站下,,4.3,8条点评,,314
益田假日广场西安,,陕西省西安市新城区长乐西路166号,,,,,益田假日广场西安是大型购物中心。商品包括了服装，鞋帽，家居，艺术展馆，书店，咖啡厅，快餐店等等不同种类和品牌都可以在这里购买到。也有饮品店，溜冰场，攀岩影院等等。环境十分不错。整个楼内宽敞，而且空调十分足，楼内有许多艺术品展。与高大上的硬件是相配的。服务人员态度也很好。,周一-周四、周日10:00-22:00，周五、周六10:00-22:30。,乘坐616路到火车站西站下,,4.4,42条点评,,315
公输堂,,西安市鄠邑区渭丰镇祁南村,,,,,公输堂原名源远堂，俗称祁村宫，位于西安市户县渭丰镇祁南村，创建于明永乐年间，是“白阳三会”教为纪念其祖师功德而建。这里既是白阳三会的法堂，又是供佛的礼拜殿，里面保存了工艺精湛的小木作结构佛龛。,无固定开放时间。公输堂的钥匙由当地村民保管，可找附近的村民询问。,乘坐鄠邑903路到祁村站下,,3.7,3条点评,,316
华盛生态园,,西安市长安区长安大道与环山路交界处向东一公里路北(近团结加油站),http://huashengyuan.org/,029-84160288,,,华盛生态园位于西安市长安区，园区占地130亩，花红草绿，瓜果飘香。园区建有生态餐厅、垂钓区、观光区、采摘区、棋牌区、农耕体验区、书画创作室、农业高科技区八大区域，游客在这里可以亲手采摘各种果蔬，体会回归田园的乐趣。,全年 9:30-18:00,乘坐335路到一支渠站下,,3.7,3条点评,,317
石佛古寺,,西安市长安区斗门街道新庄村北,,,,,石佛古寺位于西安市长安区斗门镇新庄村北，是西北地区唯一一座弘传佛母大孔雀明王主道场。古寺掩映在村边的田野中，来到山门抬眼便可见到略显斑驳却庄严古朴的“石佛古寺”四个大字。,乘坐823路到斗门站下,,,4.8,8条点评,,318
紫阁峪,,西安市鄠邑区紫阁峪村,,,,,紫阁山又名紫盖山，位于西安市户县，为终南名山，海拔2150米。由于这里山势俊秀，景色优美，离唐长安城很近，唐时有许多隐士来此清修、隐居。李白曾登临此山，赞其“紫阁连终南，青冥天倪色”，将此山峰比做“紫阁”，后人便称此山为紫阁山。南望紫阁山笔直挺拔，夕阳映照，紫气环绕，苍翠夺目，这就是户县十二景之一的“紫阁青冥”。,全年 全天开放,乘坐高新城乡21号线到杜家庄村站下,,5,1条点评,,319
汪锋故居纪念馆,,西安市蓝田县九间房镇街子村,,,,,汪锋故居纪念馆位于西安市蓝田县，与猿人遗址博物馆毗邻。故居所在地鲜花松柏环绕，碧水倒影婆娑。汪锋原名王钧治，是西北红军的创建人之一。汪锋故居现存民居前后共四间，夏房东西各二间。纪念馆主要围绕汪锋同志投身革命创建西北革命根据地、党中央委派汪锋同志到十七路军和杨虎城将军谈判，促成西安事变和平解决；抗日民族统一战线的形成、建国后汪锋同志领导地方工作和对台统战工作等块进行。馆内共陈列了史料、照片、文物168件。,全年 周二至周日 9:00-16:00,乘坐904路到许庙站下,,,,,320
小学习巷清真中寺,,西安市莲湖区庙后街174号,,,,,小学习巷清真中寺位于西安市莲湖区庙后街，小学习巷北端，和大学习巷清真寺的后院隔街相望。这里地理位置比较偏，和小皮院清真寺一样鲜有人关注。,乘坐4路到桥梓口站下,,,4.2,13条点评,,321
金沙洞,,西安市临潼区华清路（昭阳门）骊山森林公园内,,,,,金沙洞位于骊山上晚照亭北边，俗称幽洞，是唐玄宗和杨玉环避开众人独自秘密会聚的一个秘宫。金沙洞于明英宗正统年间被发现，当时的一个书生在骊山探奇冒险，发现了这个山洞。洞中有唐玄宗、杨贵妃及众宫娥的白玉雕像，杨贵纪腼腆羞涩，唐玄宗含情脉脉，栩栩如生。,全年 8:00-18:00,乘坐地铁9号线到华清池站下,,5,1条点评,,322
石瓮谷,,西安市临潼区华清路（昭阳门）骊山森林公园东、西绣岭之间,,,,,石瓮谷是骊山东、西绣岭之间一处秀丽幽深的峡谷，谷内风景优美，山泉叮咚，清流潺潺，可以说是骊山较有魅力的地段，是骊山自然风光的精华所在。谷中的石瓮寺是闻名的唐代古刹，建于唐开元年间。,全年 8:00-18:00,乘坐地铁9号线到华清池站下,,4,2条点评,,323
大华工业遗址博物馆,,大华1935院内大华纱厂旧址,,,,,大华工业遗产博物馆于2013年免费开放，是陕西省工业遗产博物馆，利用大华纱厂1935年所建的织布车间的建筑遗存改建的，这栋单层大空间的厂房建筑体是大华纱厂迄今保留非常完整的工业遗存之一，为西北现存较早、规模较大、较具有代表性的单体钢结构工业建筑。,全年 10:00-17:50,乘坐16路到大华1935站下,,,,,324
纺织城,,西安市灞桥区新医路74号附近,,,,,,乘坐地铁1号线到半坡站下,,,4.8,16条点评,,325
牛头寺,,西安市长安区双竹村樊川路（近杨虎城将军陵园）,,,,,牛头寺位于西安市长安区樊川路，近杨虎城将军陵园，与南边的杜公祠仅一墙之隔，是唐代樊川八大寺之一。牛头寺始建于唐贞元十一年(795年)，现已重新修葺，有大殿3间，僧舍7间，经幢一座，大雄宝殿共有三层，雄伟壮观、色彩艳丽。寺内花木葱郁，浓荫蔽日，环境幽静。,乘坐地铁2号线到韦曲南站下,,,4.3,9条点评,,326
薄太后陵,,西安市灞桥区狄寨乡政府西北300米处,,,,,薄太后陵全称汉薄太后南陵，又称南陵，位于西安市东南的白鹿原上。墓主是汉文帝刘恒的生母薄姬。其墓封土形似复斗，夯筑而成，高29.5米、周长560米。陵前的墓碑为清乾隆年间陕西巡抚毕沅树立，上书“汉薄太后南陵”几个大字。,全年 全天开放,乘坐240路到陕西职业技术学院站下,,3.9,19条点评,,327
大唐西市非遗博览城,,碑林区劳动南路大唐西市内(近中影国际影城),,,,,,乘坐地铁5号线到西北工业大学站下,,,4.6,31条点评,,328
美食博物馆,,中山门永兴坊内,,,,,,乘坐702路到中山门站下,,,4.7,13条点评,,329
小雁塔钟楼,,西安市碑林区友谊西路72号,,,,,清代。砖木结构建筑，重檐歇山式屋顶，内置铁钟一口，为寺院报时、做佛事之用。明清时期，“雁塔晨钟”成为关中八景之一。,全年 9:00-17:30,乘坐游7路到小雁塔站下,,4.9,18条点评,,330
秦岭峡谷高尔夫俱乐部,,西安蓝田县厚镇北峪村,,,,,西安秦岭峡谷高尔夫俱乐部是集体育健身、文化旅游、休闲度假、康疗等设施功能于一体的娱乐胜地。对于“秦岭峡谷”高尔夫休闲俱乐部设计，他匠心独运、依势造型、累计落差283米伴随14个自然瀑布既凸显峡谷山地特色、又与这里山水浑然一体。18个球洞、18道风景、18种心情、18番尽兴可谓妙不可言趣味无穷。她将成为亚洲地区具有特色和魅力的山地高尔夫休闲俱乐部，到此畅打高球必是无尽享受。,全年 7:00-18:00,乘坐904路到许庙站下,,4,2条点评,,331
中山门,,"东新街1号,顺城东巷北段",,,,,,具体开放时间请咨询景区,乘坐102路到东新街站下,,4.6,28条点评,,332
未央宫遗址,,邓六公路(近孙武路),,,,,,全年 全天开放,乘坐223路延点区间到高堡子站下,,,,,333
金仙观,,西安市长安区子午镇西侧的子午峪内,,,,,金仙观位于西安市长安区子午镇西侧的子午峪内。起初西汉文帝时期在这里修建了一个玄都坛，后来在终南山修道的隐士在其周围逐渐建造起诸多道观。其中比较有名的便是唐玄宗李隆基为其八妹金仙公主修建的金仙观，是韩国道教祖庭。,全年 08:00-18:00；具体开放时间以景区当日实际情况为准。,乘坐772路到子午峪保护总站下,"1、道观内禁止吸烟。

2、前往道观的山路崎岖，上山的时候要小心一点，穿着易于登山的平底鞋。",3.9,9条点评,,334
丰镐遗址,,西安市长安区马王镇、斗门镇一带的沣河两岸,,,,,丰镐遗址位于西安市长安区马王镇、斗门镇一带的沣河两岸，是西周文王所建丰邑和武王所建镐京的故址，丰在河西，镐在河东。两京遗址总面积超过17平方公里。,乘坐地铁5号线到复兴大道南站下,,,,,,335
木塔寺遗址生态公园,,科技六路6号,,,,,,全年 全天开放,乘坐地铁6号线到木塔寺站下,,,,,336
大阿弥陀寺,,西安市灞桥区杨疙瘩村,,,,,大阿弥陀寺位于西安市灞桥区。隋朝时曾在此处建有灵感寺，后改为观音寺、青龙寺，距今已有1400多年历史。现在的寺庙为2006年开始重建，焕然一新，庄严肃穆。寺庙被包裹在郁郁葱葱的林木之中，山色秀丽，微风习习。,乘坐232路到五十六中站下,,,3.8,9条点评,,337
梦幻海洋馆,,西安市灞桥区华夏文旅海洋公园内,,,,,,全年 10:00-17:30,乘坐190路到华夏文旅站下,,5,3条点评,,338
鲸鱼沟竹海风景区,,狄寨街风光南路西车村,http://www.jyghao.com/,029-83500526,,32,西安鲸鱼沟竹海风景区位于古城西安著名的白鹿原上（狄寨街办西车村，）处于西安市近郊，距离东三环5公里。景区集“生态观光、文化旅游、水上娱乐、休闲度假”为一体。景点有百果园、关中竹海、奇石林、瀑布、不老泉、鲸鱼湖、竹海亭、望月亭、研学旅行拓展、翠园餐厅、报恩寺宗教文化区等10多处。其中千亩竹林、鲸鱼湖、报恩寺，荣得“关中三奇”之美称。景区服务功能齐全。酒店有大小型多功能会议厅，标准客房舒适而温馨，幽雅别致的竹林餐厅，可容纳300人同时就餐，食材以园区自种自养提供，凸显农家风味，令人唇齿留香。,全年 08:00-18:00,"儿童：身高1.2米（含）以下，免费；身高1.2米（不含）--1.4米（含），半价
学生：全日制大中小学生（不含成人教育、研究生），半价
老人：65周岁（含）以上凭身份证或老年证，免费
残疾人：凭残疾证，免费
军人：现役军人凭军官证，免费
西车村及东车村村民：凭有效相关证件，免费
陕西省人民警察：凭有效相关证件，免费","停车场：【鲸鱼沟竹海风景区】参考价格：10元/次；地址：鲸鱼沟竹海风景区；库位：50
园内交通：观光车：单程10元/人；船票：30元/人
餐厅：翠园酒店是集餐饮，住宿，休闲娱乐，商务会议一体的多功能综合酒店。翠园酒店主打的是东北菜，以东北特产原料和纯绿色食品为原料，咸甜分明，一菜多味，火候足，色鲜味浓；烹调方法主要以馏、炸、酱、炖为主要特点且价格适中，做出来的菜肴表现出了嫩而不生、透而不老、烂而不化的独特口味。我们经常听闻的“酸菜猪肉炖粉条、地三鲜、东北冷肉、锅包肉”等等美味才这里都将成为现实。",4.2,40条点评,乘坐240路到狄寨站下,339
西安梦幻星空艺术失恋博物馆,,西安市碑林区钟楼骡马市步行街兴正元广场负二层,,,,45,西安梦幻星空艺术失恋博物馆位于骡马市步行街兴正元广场负二层，顾名思义，失恋博物馆内展出的都是与“爱情”相关的内容，无论是馆内大大小小的语录，还是场景布置，都有着每个人在爱情中的酸甜苦辣。,10:30-22:00,"儿童：1.2米（含）以下儿童，免费；身高：1.2米（不含）~1.4米（含），半价
学生：特殊证件：持有学生证的游客可预订，凭相关有效证件使用，半价",乘坐37路到端履门站下,4.8,12条点评,,340
财神庙,,陕西省西安市周至县楼观台镇,,,,,,全年 9:00-18:00；具体以当日实际情况为准,乘坐周至106路到赵公明财神庙站下,,4.4,18条点评,,341
西安梵高星空艺术馆,,西安市莲湖区回民街回坊里商业街2楼,,,,38,西安梵高星空艺术馆全面启用空间视错觉、光影特效等技术，将原本在平面中呈现的名画立体化，成为一个可触摸、可进入、可任意玩味的真实4D炫酷场景。梦幻时光隧道、魔幻镜像迷宫、世纪之吻、北欧星空、星际穿月、爱在星夜等互动产品悉数亮相。其中尤其以魔幻镜像迷宫特别神秘，颠覆现有的艺术展览形式，加入音乐灯光秀，使整体氛围渲染更为梦幻，并预计引进立体成像技术，为游客呈现一个前所未见的奇妙魔幻空间。,全年 10:00-23:00,乘坐4路到广济街(市信访接待中心)站下,,0,,,342
嘉会坊,,西安市雁塔区高新路14号,,,,,嘉会坊以西安创意咖啡街区为核心，向东西南北四个方向延伸，着力营造国际化的环境和氛围，引领风尚潮流潮，打造文化时尚美丽街区、青年创新创业乐园、西安生活新体验区。,全年 全天开放,乘坐游7路到劳动南路南口站下,,4.8,6条点评,,343
渼陂湖景区,,西安市鄠邑区涝滨北路与渼陂西路交叉口南150米,,,,,,全年 9:00-18:00,乘坐930路到长虹十字站下,,4.7,17条点评,,344
大雁塔地下宫景区,,西安市雁塔区大雁塔景区旁,,,,,"大雁塔地下宫位于大雁塔西边，深约二十米，占地面积3500平方，宫内陈列有曾获国际""蒙特卡罗""艺术金奖的巨型壁画《丝路风情》、《三秦揽胜》、《玄奘院》 陈列展示的物品，反映了玄奘法师西天取经的真实情景和大师光辉坎坷的一生；唐代佛教盛行，人们开始烧香拜佛，乞求保佑大众无病无灾，辉煌庄严的《大雄宝殿》，祥和灵验的《千手千眼观音》，威武庄严地《八大金刚》等，寓意着人生吉祥如意，国泰民安；陈列在地下已有千年历史的地下碑林和佛教经幢及历史墓志铭，让你对中国的历史文化有进一步的认识。",全年 09:00-18:00,补充说明：1、景区暂无优待政策，具体请以景区当天公示为准。,乘坐606路到雁塔西路东口站下,3.5,74条点评,,345
欧洲风情街,,东大街兴正元广场旁,,,,,,全年 全天开放,乘坐37路到端履门站下,,4.6,18条点评,,346
小雁塔鼓楼,,西安市碑林区友谊西路72号,,,,,清代。砖木结构建筑，重檐歇山式屋顶，佛寺习俗，早晨击鼓，傍晚击鼓，以此号令僧众礼佛诵经。,全年 9:00-17:30,乘坐游7路到小雁塔站下,,4.7,14条点评,,347
石刻艺术馆,,西安市碑林区三学街15号(近书院门)西安碑林博物馆内,,,,,,全年 08:00-18:00,乘坐600路到南门里站下,,4.9,13条点评,,348
孟记秦渡古镇,,长乐中路红花巷,,,,,孟记秦渡古镇现在叫秦镇老街，房屋老旧，乡土气息浓厚。老街上有很多铺子，以经营米皮生意为主。,全年 10:00-20:00,乘坐622路到东二环信和路口站下,,4.4,11条点评,,349
沣东沣河生态景区,,沣东新区,,,,,,7:00-21:00；冬季最晚20:00入园。,乘坐823路到沣东沣河生态景区南门站下,,4.3,15条点评,,350
大眼国儿童美术博物馆,,西安市莲湖区北大街与糖坊街交叉口西南角,,,,,大眼国儿童美术博物馆是一个以儿童为主的艺术博物馆，这里大部分的体验设施都是手工打造，占地5200平方米，每年变换主题，每个小展区跟着大主题创作不同的展项。并配合孩子们喜爱的形式以互动体验为主，让孩子用手、眼、耳、身体去感受艺术。,全年 10:00-18:00,乘坐37路到北门里站下,,4.4,9条点评,,351
曲江文化运动公园,,西安市曲江池东路,,,,,曲江文化运动公园位于曲江新区二期CCBD（中央文化商务区）核心区域，西邻曲江池东路南段，北界金羊路，南界创意大道，总面积13.1万平方米。与大唐芙蓉园、曲江池遗址公园、秦二世遗址公园形成曲江南北向的景观轴线。公园拟围绕运动主题，以国际化、人文化、生态化的设计理念，提升城市品质，为“品质西安”建设做出应有的贡献。,全年 全天开放,乘坐192路到春临三路公田三路口站下,,4.8,5条点评,,352
朝元阁,,牡丹路,,,,,,,,,4.6,14条点评,,353
萌宠王国,,西安市雁塔区雁翔路正荣彩虹谷五楼（西北妇女儿童医院南侧）,,,,,萌宠王国位于正荣.彩虹谷五楼，是一个以自然生态体验为主的亲子互动乐园，内部依照热带雨林布置，各种可爱的小动物们藏身其中，有鸟类、松鼠、浣熊等，让孩子们在室内也可以和小动物们互动。,全年 10:00-20:00,乘坐701路到雁翔路公交调度站下,,4.7,3条点评,,354
尚德门,,陕西省西安市新城区二环路沿线商业经济带尚德路,,,,,,具体开放时间请咨询景区,乘坐616路到火车站西站下,,4.5,11条点评,,355
曲江流饮,,西安市雁塔区芙蓉路1号大雁塔东南侧(近雁南路)大唐芙蓉园内,,,,,曲江流饮得名于盛唐时期流行的在曲流上执杯畅饮。曲江池两岸亭台楼榭、绿树环绕，江水波涛汹涌，景色宜人，众多诗人曾在此吟诗作赋。,乘坐地铁4号线到大唐芙蓉园站下,,,4.6,14条点评,,356
慈氏阁,,西安市碑林区友谊西路72号,,,,,明代。两层高台式砖木建筑，重檐歇山式屋顶，上殿宇面阔3间，进深2间，四周设回廊。重檐之间悬挂明正统十四年（1449）“赦赐荐福寺”木质匾额。慈氏是印度古代梵文“弥勒”的意译，慈氏阁是供奉弥勒的场所。,全年 9:00-17:30,乘坐游7路到小雁塔站下,,4.6,9条点评,,357
瓮城,,西安市新城区环城东路(西安城墙内),,,,,,具体开放时间请咨询景区,乘坐37路到北门里站下,,4.3,9条点评,,358
樊川桃花园,,西安市长安区东杨万村（长安盛农园对面）,,,,,长安樊川桃花园占地近两百余亩，以人面桃花故事为依托，汇集了百合园、桃花岛、爱情岛、人面桃花园、结义园、桃花庵6个有关桃花的主题园区，桃花园旨在让市民感受桃主题文化，是您踏青赏花的好去处，2018桃花节期间更有丰富精彩的活动。,全年 9:00-18:00,补充说明：1、景区暂无优待政策，具体请以景区当天公示为准。,乘坐776路到终南大道樊川路口站下,2,1条点评,,359
大秦寺塔,,西安市周至县楼观镇塔峪村南二百米山麓，化女泉西500米处,,,,,大秦寺塔原名“镇仙宝塔”，位于西安周至县城东南20公里的终南山北麓，楼观台旁，始建于唐贞观年间，距今已有1300多年历史。,乘坐周至101路到鹿马村站下,,,5,5条点评,,360
清思殿,,陕西省西安市新城区自强东路585号大明宫遗址公园内,,,,,清思殿为宫内起居便殿，为古代皇帝游乐、休息之处。,全年 9:30-18:00,乘坐地铁3号线到科技路站下,,4.6,20条点评,,361
浐灞生态区雁鸣湖湿地,,河滨大道,,,,,,全年 全天开放；具体开放时间以景区当日实际情况为准。,乘坐172路到雁鸣湖公园站下,,4.8,11条点评,,362
,,,,,,,,,,,5,,,363
文景公园,,文景路(凤城三路口),,,,,,全年 全天开放,乘坐601路到长安医院站下,,4.3,37条点评,,364
高陵场畔农耕园,,西安市高陵区通远镇仁村,,,,,高陵场畔农耕文化生态观光产业园收藏了大量农耕用具，手工业工具，百姓传统生活用品等等，以及规划建设全国各地典型农舍，传统手工作坊，传统农耕民俗文化和手工业学习体验区等。旨在打造一个集挖掘，整理，抢救，保护，展示，传承为一体的中华民族农耕文化科普体验基地. 主要以华夏农耕文明的发源地陕西关中地区，以及我国西北其他地区的农耕民俗文化为主要挖掘保护对象，在保护传承的同时，也提供一个自然环境优美，文化底蕴深厚的科普学习，休闲度假的好去处。,全年 09:00-18:00,补充说明：1、景区暂无优待政策，具体请以景区当天公示为准。,乘坐高陵103路到仁村站下,3.9,8条点评,,365
西安星空错觉艺术馆,,西安市雁塔区华旗国际A座20F,,,,,西安星空错觉艺术馆的展览的主题包括：遇见梵高、雾时之森、紫藤隧道、无极地井、无限星空、夕阳剪影 、许愿屋、光之旅等，这些都将给以你全新的震撼与体验。,9:00-22:00,补充说明：1、暂无优惠政策，具体请以景区当天披露为准。,乘坐26路到小寨站下,2,3条点评,,366
,,,,,,,,,,,4.7,,,367
鄠邑区文庙,,西安市鄠邑区东街，钟楼东侧,,,,,户县文庙位于西安市户县钟楼东侧，始建于明洪武年间，现在是户县图书馆、文化馆所在地。文庙坐北向南，现存建筑自南向北依次为：献殿、大成殿、明伦堂、崇圣祠楼等。,乘坐930路到长虹十字站下,,,4,11条点评,,368
长安大学,,西安市雁塔区长安中路161号,,,,,长安大学（Chang’an University）座落于古都西安，是国家“985工程优势学科创新平台”建设的高校。入选国家“111计划”、是高水平行业特色大学资源共享联盟、中俄交通大学联盟成员高校，是中国较早承担援外教育和和首批招收港、澳、台学生的高校之一。,乘坐606路到南二环雁塔立交北站下,,,4.7,41条点评,,369
孝子峰,,渭南市华阴市玉泉路南段华山风景名胜区内,,,,,,,,,5,1条点评,,370
雁鸣湖休闲公园,,浐河西路与东月路交汇处,,,,,,全年 全天开放,乘坐191路到雁鸣湖公园站下,,4.9,8条点评,,371
大汉宣平里,,西安市未央区朱宏路与丰产路十字向西600米,,,,,大汉宣平里位于西安市汉长安城遗址内，是一个以汉文化及都市农业为主题，集汉文化展示、交流、体验和新型都市农业展示、瓜果采摘、观光、体验、娱乐、休闲、餐饮、购物等多业态为一体的综合园区。,全年 09:30-22:00；最晚入园时间21:00,"军人：军官证，残疾人证享优惠价格，请在景区现场购买，优惠价
儿童：演出门票1.3米（不含）以下免费，超过1.3米的儿童大小同价；，免费",乘坐882路到青西村站下,5,10条点评,,372
东岳庙,,东门里顺城东路1号(方大美博城),,,,,东岳庙是紧邻西安明城墙的一处很出名的道观。东岳庙内绘有民间风俗传说故事彩画。使其具有很大的研究价值。,全年 09:00-18:00,乘坐37路到东门里站下,,4.1,9条点评,,373
长安大学彩虹桥,,西安市碑林区南二环路中段长安大学本部北院和南院之间,,,,,彩虹桥是因其形状和桥本身的色彩，被当地人称为“彩虹桥”。同时也是连接长安大学校本部南院和北院的通道。也是当地地标性的建筑。,全年 全天开放,乘坐地铁2号线到体育场站下,,4.8,4条点评,,374
